branches,branch misses,LLC,LLC misses,branch miss rate,LLC miss rate,type
186940875,4301522,28779908,8719517,0.02301,0.302972,1
201589673,4913623,27275659,9350198,0.024374,0.342804,1
191177540,4800095,28379164,8739473,0.025108,0.307954,1
205487491,5045379,30968391,9020568,0.024553,0.291283,1
215628207,5270512,31404037,9002920,0.024443,0.28668,1
209917575,5387249,31018852,8951304,0.025664,0.288576,1
194035472,4845045,28939457,9401994,0.02497,0.324885,1
202734775,4813563,28992475,9052587,0.023743,0.312239,1
467967570,8894545,30093669,10038718,0.019007,0.333582,1
222016014,5195981,28771876,9187360,0.023404,0.319317,1
209320737,4527712,28197684,9100737,0.02163,0.322748,1
216642259,4433141,30035462,9102541,0.020463,0.30306,1
210592353,5084094,28289690,9584586,0.024142,0.338801,1
211862924,5172501,29224435,9192668,0.024414,0.314554,1
214032035,5145884,28222988,9513983,0.024043,0.3371,1
217412219,5517406,29956374,8981451,0.025378,0.299818,1
222689025,5033817,27458982,9736303,0.022605,0.354576,1
207014581,4410273,27827881,9371177,0.021304,0.336755,1
208109580,5218514,27904590,8775809,0.025076,0.314493,1
193755408,4666306,28165513,8953248,0.024083,0.31788,1
195119649,5093911,27979626,9219651,0.026107,0.329513,1
199473278,4538434,28670297,9011216,0.022752,0.314305,1
216011273,5088380,31050522,9463111,0.023556,0.304765,1
191970412,4867910,28982082,9202062,0.025358,0.317509,1
221916886,4730573,29193633,9520017,0.021317,0.326099,1
204423087,4750289,29562824,9457383,0.023238,0.319908,1
201596359,5059068,28946959,8900247,0.025095,0.307467,1
185479655,4795219,28240745,8792171,0.025853,0.311329,1
212350314,4860494,29797026,9981543,0.022889,0.334985,1
186681984,4944185,28507656,8782283,0.026485,0.308068,1
208713535,4882255,28683617,9819707,0.023392,0.342345,1
183626194,4395511,28989730,9023325,0.023937,0.311259,1
213514164,5141928,30538039,8824116,0.024082,0.288955,1
213391566,5567124,29810141,9141243,0.026089,0.306649,1
479102556,8226326,33514323,11260246,0.01717,0.335983,1
190353578,4563922,28363046,8319523,0.023976,0.293323,1
204098468,4775393,30276173,8966890,0.023397,0.29617,1
179162108,4871421,30293502,9332378,0.02719,0.308065,1
215536821,5136033,28971956,9606241,0.023829,0.33157,1
211209457,5340686,30699548,8667168,0.025286,0.282322,1
205704819,4982093,29360826,9825776,0.02422,0.334656,1
211306367,4996479,28418202,8591438,0.023646,0.302322,1
325925723,7088789,33426433,10506442,0.02175,0.314315,1
207279781,4916076,28024278,9579939,0.023717,0.341844,1
218597470,5065880,30954972,9726570,0.023174,0.314217,1
213453077,5008416,28169425,8762973,0.023464,0.311081,1
203187701,5104330,27338596,9049143,0.025121,0.331002,1
210483092,4932470,29373272,9654012,0.023434,0.328667,1
214640850,4851118,29326452,8736347,0.022601,0.2979,1
214279995,4971516,30773315,8686408,0.023201,0.282271,1
203368108,4572388,28618674,9070645,0.022483,0.316948,1
204174234,4756908,27498201,9241005,0.023298,0.336059,1
219579264,4871420,28991627,9285656,0.022185,0.320288,1
182888133,4393662,29797779,9521071,0.024024,0.319523,1
210301565,4983686,28244232,9458449,0.023698,0.334881,1
209901298,5217176,27982782,8745869,0.024855,0.312545,1
200333233,4482347,27122788,9211539,0.022374,0.339624,1
197437386,4997498,28368890,9051673,0.025312,0.31907,1
222954960,5684777,29659046,9668964,0.025497,0.326004,1
194172618,4648605,28464760,8551247,0.023941,0.300415,1
211101026,5286928,30002221,9158603,0.025045,0.305264,1
206815981,5066366,29034119,9642046,0.024497,0.332094,1
218934011,4789204,28762294,8953050,0.021875,0.311277,1
212520761,4877140,29735964,10011367,0.022949,0.336675,1
222611535,4899142,30223655,9846876,0.022008,0.3258,1
186898556,4453339,27287121,9191093,0.023828,0.336829,1
218251977,5235653,29321327,8663098,0.023989,0.295454,1
212962477,4913106,27804256,9541740,0.02307,0.343176,1
201300884,4664086,28652953,8931780,0.02317,0.311723,1
219641625,5502952,29708599,9417699,0.025054,0.317002,1
349637227,6552961,31825437,10292458,0.018742,0.323404,1
209528001,4979246,29124569,9039474,0.023764,0.310373,1
194067236,4770960,29118440,8924418,0.024584,0.306487,1
211091200,4932795,29070348,9146764,0.023368,0.314642,1
212860314,4915001,27994349,8864884,0.02309,0.316667,1
496672799,8367855,33789950,11237716,0.016848,0.332576,1
221610340,4575424,29102090,8457817,0.020646,0.290626,1
201479729,5060473,29025755,9691091,0.025117,0.333879,1
206323071,5306545,30332780,8845581,0.02572,0.291618,1
205299610,4958466,27848425,8903710,0.024152,0.31972,1
193543220,4919692,29122139,9455706,0.025419,0.324691,1
210420022,5136713,28640442,9048737,0.024412,0.315943,1
193192181,4677215,28971160,8313530,0.02421,0.286959,1
198264233,5006196,30664212,8663937,0.02525,0.282542,1
204650225,4536607,28473382,9398062,0.022168,0.330065,1
212554825,5108812,29895964,9784404,0.024035,0.327282,1
191881301,4408268,27237905,8954859,0.022974,0.328765,1
224061576,5348783,29212491,9946125,0.023872,0.340475,1
218232183,5078305,28497684,9441447,0.02327,0.331306,1
186556117,4710791,28653343,9245030,0.025251,0.322651,1
211283792,5292199,28539131,9556461,0.025048,0.334855,1
201523072,5066529,29519930,8491002,0.025141,0.287636,1
187764038,4970617,29025667,9122071,0.026473,0.314276,1
202665895,4830874,29048302,8546999,0.023837,0.294234,1
188038558,4654997,29651274,9596140,0.024756,0.323633,1
212509806,5103254,28558409,9383102,0.024014,0.328558,1
212636994,5233907,27304337,9213694,0.024614,0.337444,1
222956631,5836413,29916090,9873686,0.026177,0.330046,1
285033959,5609687,31518727,10475744,0.019681,0.332366,1
201073726,4652740,30020619,9257957,0.023139,0.308387,1
190080734,5084109,27102486,8458037,0.026747,0.312076,1
218840811,5100801,28615588,8791952,0.023308,0.307243,1
189983747,4466371,28725245,8623442,0.023509,0.300204,1
205293551,4771168,28693268,8374186,0.023241,0.291852,1
189353448,4946056,27956309,9337100,0.026121,0.333989,1
211158636,5041605,28429942,9275434,0.023876,0.326256,1
493068071,8147388,34336356,11633910,0.016524,0.338822,1
214022333,5268880,27960670,8800615,0.024618,0.31475,1
174727408,4302442,28674290,9053063,0.024624,0.315721,1
196699965,4731392,27707687,8824900,0.024054,0.3185,1
203635689,4837973,30559026,9092363,0.023758,0.297534,1
222301933,5665228,30961626,9665171,0.025484,0.312166,1
200669669,4921724,29416316,9863394,0.024526,0.335304,1
205211408,4552278,28143751,9431048,0.022183,0.335103,1
191064549,4689542,28891958,9104132,0.024544,0.31511,1
207997217,4870055,30415785,8328871,0.023414,0.273834,1
218046536,5042843,30900509,9422195,0.023127,0.30492,1
252852031,5819416,32065915,11326550,0.023015,0.353227,1
184985341,4584852,29137752,9345614,0.024785,0.320739,1
224458365,5387117,26624824,9789534,0.024001,0.367684,1
206815451,4533505,27985495,9400841,0.021921,0.335918,1
226360874,4981370,30949471,9109951,0.022006,0.294349,1
202493980,5430500,27547989,9552420,0.026818,0.346756,1
218228822,5404052,30846460,9525260,0.024763,0.308796,1
210915772,5474455,31063236,9228269,0.025956,0.29708,1
207091094,4912472,26872617,8987391,0.023721,0.334444,1
207244339,4649257,27716550,8855437,0.022434,0.3195,1
216938300,5290976,29073875,9510309,0.024389,0.327108,1
222280707,5136519,30027216,9905551,0.023108,0.329886,1
213185953,4832254,28242432,9309603,0.022667,0.329632,1
192498026,4661269,29117160,8550304,0.024215,0.293652,1
292963423,5873473,32761883,10529072,0.020048,0.321382,1
198251418,4648535,28323830,9205728,0.023448,0.325017,1
291888537,5561483,33544737,10733089,0.019053,0.319963,1
189067776,5164502,27993738,8914440,0.027316,0.318444,1
191132323,4402244,28624168,9140767,0.023032,0.319337,1
207468831,4702130,27981641,8657181,0.022664,0.309388,1
188102196,4492338,26817493,8811760,0.023882,0.328583,1
208534299,4883755,28578987,8861449,0.023419,0.310069,1
197401733,5119377,28304075,9668532,0.025934,0.341595,1
194780420,4911602,27951015,9093545,0.025216,0.325339,1
211972539,5020035,28151853,9075840,0.023682,0.322389,1
217005105,5338971,31164766,9513675,0.024603,0.30527,1
214052268,4844440,30161087,9253786,0.022632,0.306812,1
199666859,4668371,29161366,9263396,0.023381,0.31766,1
208247729,4873935,31675129,9553339,0.023405,0.301604,1
217695745,5294646,28428400,9522404,0.024321,0.334961,1
295195587,6059208,32655085,10686243,0.020526,0.327246,1
216463379,5437474,29955380,9834177,0.02512,0.328294,1
196610604,4652969,29542787,9420853,0.023666,0.318888,1
218496985,5270210,30250361,9107737,0.02412,0.301079,1
205059272,4965155,27841467,9227834,0.024213,0.331442,1
206820952,4853173,27532088,8720735,0.023466,0.316748,1
201647301,5044035,29672752,9736339,0.025014,0.328124,1
203331917,5086465,30170043,9009955,0.025016,0.298639,1
185784251,4936100,28117046,9270301,0.026569,0.329704,1
242961393,5650902,30767233,10298934,0.023258,0.334737,1
204137686,4612265,29557214,8739587,0.022594,0.295684,1
214416828,5012062,28618727,8845168,0.023375,0.309069,1
206932191,4803463,29093441,8794479,0.023213,0.302284,1
221401898,5330785,29142167,8926138,0.024077,0.306296,1
193999363,4677245,28454416,8572110,0.02411,0.301258,1
204697612,4765364,30362335,9090208,0.02328,0.299391,1
209260970,4829711,29399626,9473035,0.02308,0.322216,1
186762838,4879058,27494989,8723027,0.026124,0.317259,1
208984370,4696651,27512424,8902863,0.022474,0.323594,1
201453437,4321573,28171630,8715242,0.021452,0.309362,1
187937821,4765466,30476731,9224786,0.025357,0.302683,1
211213846,4690234,29125578,9736629,0.022206,0.334298,1
214857708,4904909,29741394,9942788,0.022829,0.334308,1
209683768,5142276,29853759,8883188,0.024524,0.297557,1
215301550,5322857,27281801,9515913,0.024723,0.348801,1
293719627,6058822,32840406,10653018,0.020628,0.324388,1
502098250,8980636,34619125,11824968,0.017886,0.341573,1
227043013,5502630,29970551,8863980,0.024236,0.295756,1
205703678,4912533,28435994,8943299,0.023882,0.314506,1
183190220,4355219,28790469,8938358,0.023774,0.310462,1
482446568,8173776,34478514,12057926,0.016942,0.349723,1
476087587,8220800,33278976,11851311,0.017267,0.35612,1
205402625,4711551,29403487,8995859,0.022938,0.305945,1
215681699,5120362,30298777,9023056,0.02374,0.297803,1
224150775,5469139,28683231,9688175,0.024399,0.337764,1
198942277,5163677,28520069,9581006,0.025956,0.335939,1
192398893,4643553,27851105,9106516,0.024135,0.326971,1
207972124,5321105,26980386,9560168,0.025586,0.354338,1
212256870,5272675,28403274,9563051,0.024841,0.336688,1
204707082,5058386,29438763,9262054,0.02471,0.314621,1
187802256,4733616,29554578,9566232,0.025205,0.32368,1
210994190,5239710,30471226,9046086,0.024833,0.296873,1
214474667,5050340,31183832,9319938,0.023547,0.298871,1
210727515,5034640,30746534,9203988,0.023892,0.29935,1
194272118,4892496,26927507,8777429,0.025184,0.325965,1
210016248,4950904,30102428,10012962,0.023574,0.33263,1
188556447,5106842,27093068,8486133,0.027084,0.313222,1
204519985,4600398,27558579,9585334,0.022494,0.347817,1
194263450,4859131,27644681,9139978,0.025013,0.330623,1
216929572,4695885,31235401,9414569,0.021647,0.301407,1
182827035,4190738,28743289,8887943,0.022922,0.309218,1
197060131,4780932,28058640,9117439,0.024261,0.324942,1
213199233,5407977,28247376,9988710,0.025366,0.353616,1
209055873,4742368,29888932,9670886,0.022685,0.323561,1
202378761,4739387,28822551,9053441,0.023418,0.31411,1
276405533,5972043,30314899,9212985,0.021606,0.303909,1
192082201,4662853,28474027,8379324,0.024275,0.29428,1
198788803,5065249,28305530,8729262,0.025481,0.308394,1
194608138,4884485,28864683,8945724,0.025099,0.309919,1
